target,pprop,hit_rate_mean,definition
target1,1.5,0.0,3.5
target1,2.0,0.03333333333333333,3.5
target1,2.5,0.02857142857142857,3.5
target1,3.0,0.0,3.5
target1,3.5,0.08571428571428572,3.5
target1,4.5,0.15476190476190477,3.5
target1,5.0,0.2222222222222222,3.5
target1,5.5,0.34309623430962344,3.5
target1,6.0,0.43448275862068964,3.5
target1,6.5,0.45098039215686275,3.5
target1,7.0,0.5333333333333333,3.5
target1,7.5,0.38596491228070173,3.5
target1,8.0,0.10714285714285714,3.5
target1,1.5,0.0,3.75
target1,2.0,0.03333333333333333,3.75
target1,2.5,0.0,3.75
target1,3.0,0.0,3.75
target1,3.5,0.02857142857142857,3.75
target1,4.5,0.10119047619047619,3.75
target1,5.0,0.14492753623188406,3.75
target1,5.5,0.26359832635983266,3.75
target1,6.0,0.36551724137931035,3.75
target1,6.5,0.3872549019607843,3.75
target1,7.0,0.475,3.75
target1,7.5,0.2631578947368421,3.75
target1,8.0,0.07142857142857142,3.75
target1,1.5,0.0,4.0
target1,2.0,0.0,4.0
target1,2.5,0.0,4.0
target1,3.0,0.0,4.0
target1,3.5,0.0,4.0
target1,4.5,0.05952380952380952,4.0
target1,5.0,0.10144927536231885,4.0
target1,5.5,0.19246861924686193,4.0
target1,6.0,0.2689655172413793,4.0
target1,6.5,0.28921568627450983,4.0
target1,7.0,0.35,4.0
target1,7.5,0.24561403508771928,4.0
target1,8.0,0.07142857142857142,4.0
target1,1.5,0.0,4.25
target1,2.0,0.0,4.25
target1,2.5,0.0,4.25
target1,3.0,0.0,4.25
target1,3.5,0.0,4.25
target1,4.5,0.03571428571428571,4.25
target1,5.0,0.06280193236714976,4.25
target1,5.5,0.14225941422594143,4.25
target1,6.0,0.21379310344827587,4.25
target1,6.5,0.22058823529411764,4.25
target1,7.0,0.225,4.25
target1,7.5,0.15789473684210525,4.25
target1,8.0,0.07142857142857142,4.25
target1,1.5,0.0,4.5
target1,2.0,0.0,4.5
target1,2.5,0.0,4.5
target1,3.0,0.0,4.5
target1,3.5,0.0,4.5
target1,4.5,0.02976190476190476,4.5
target1,5.0,0.01932367149758454,4.5
target1,5.5,0.07531380753138076,4.5
target1,6.0,0.18620689655172415,4.5
target1,6.5,0.15196078431372548,4.5
target1,7.0,0.18333333333333332,4.5
target1,7.5,0.12280701754385964,4.5
target1,8.0,0.07142857142857142,4.5
target1,1.5,0.0,4.75
target1,2.0,0.0,4.75
target1,2.5,0.0,4.75
target1,3.0,0.0,4.75
target1,3.5,0.0,4.75
target1,4.5,0.011904761904761904,4.75
target1,5.0,0.014492753623188406,4.75
target1,5.5,0.06276150627615062,4.75
target1,6.0,0.14482758620689656,4.75
target1,6.5,0.09803921568627451,4.75
