task,task_label,method,method_label,round_index,top_k,seed_count,cumulative_budget_mean,cumulative_budget_std,mean_top_k_score_mean,mean_top_k_score_std,best_so_far_y_mean,best_so_far_y_std,simple_regret_mean,simple_regret_std
branin,Branin,mf_gfn,MF-GFN,1,50,1,0.9300000000000068,0.0,-21.163006188178933,0.0,-0.814442316273146,0.0,0.416555316273146,0.0
branin,Branin,mf_gfn,MF-GFN,2,50,1,10.319999999999993,0.0,-9.960576675318782,0.0,-0.814442316273146,0.0,0.416555316273146,0.0
branin,Branin,mf_gfn,MF-GFN,3,50,1,21.060000000000002,0.0,-4.670953937782179,0.0,-0.4655086919556286,0.0,0.06762169195562862,0.0
branin,Branin,mf_gfn,MF-GFN,4,50,1,30.180000000000007,0.0,-2.72139513946388,0.0,-0.4655086919556286,0.0,0.06762169195562862,0.0
branin,Branin,mf_gfn,MF-GFN,5,50,1,41.10000000000002,0.0,-2.2314783129596747,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,6,50,1,57.960000000000036,0.0,-1.9045146822137864,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,7,50,1,68.07000000000002,0.0,-1.6415511670041292,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,8,50,1,75.48000000000002,0.0,-1.367986876965759,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,9,50,1,90.45000000000002,0.0,-1.2815961467744001,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,10,50,1,103.35000000000002,0.0,-1.1852035645071397,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,11,50,1,115.35000000000002,0.0,-1.0380744905807875,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,12,50,1,125.64000000000001,0.0,-0.9941078605001104,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,13,50,1,134.22,0.0,-0.9182793674045621,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,14,50,1,145.95,0.0,-0.8855357987963689,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,15,50,1,157.14,0.0,-0.8417011324693445,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,16,50,1,167.15999999999997,0.0,-0.8319330186171879,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,17,50,1,176.45999999999998,0.0,-0.8255181015316845,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,18,50,1,189.71999999999997,0.0,-0.7967285076379264,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,19,50,1,200.63999999999996,0.0,-0.7693555555706808,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,20,50,1,211.28999999999996,0.0,-0.7693555555706808,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,21,50,1,228.41999999999996,0.0,-0.7693555555706808,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,22,50,1,241.67999999999995,0.0,-0.7693555555706808,0.0,-0.41849252395464553,0.0,0.020605523954645544,0.0
branin,Branin,mf_gfn,MF-GFN,23,50,1,248.00999999999996,0.0,-0.7362817790213252,0.0,-0.40839662537614707,0.0,0.01050962537614708,0.0
branin,Branin,mf_gfn,MF-GFN,24,50,1,259.55999999999995,0.0,-0.7325541838109936,0.0,-0.40839662537614707,0.0,0.01050962537614708,0.0
branin,Branin,mf_gfn,MF-GFN,25,50,1,275.42999999999995,0.0,-0.7103795258298965,0.0,-0.40839662537614707,0.0,0.01050962537614708,0.0
branin,Branin,mf_gfn,MF-GFN,26,50,1,289.85999999999996,0.0,-0.7103795258298965,0.0,-0.40839662537614707,0.0,0.01050962537614708,0.0
branin,Branin,sf_gfn,SF-GFN,1,50,1,30.0,0.0,-14.374509343693159,0.0,-0.5739367466103342,0.0,0.17604974661033423,0.0
branin,Branin,sf_gfn,SF-GFN,2,50,1,60.0,0.0,-13.596325648686001,0.0,-0.5739367466103342,0.0,0.17604974661033423,0.0
branin,Branin,sf_gfn,SF-GFN,3,50,1,90.0,0.0,-6.982023795005854,0.0,-0.5739367466103342,0.0,0.17604974661033423,0.0
branin,Branin,sf_gfn,SF-GFN,4,50,1,120.0,0.0,-4.699148014790826,0.0,-0.5739367466103342,0.0,0.17604974661033423,0.0
branin,Branin,sf_gfn,SF-GFN,5,50,1,150.0,0.0,-3.036509778280488,0.0,-0.5739367466103342,0.0,0.17604974661033423,0.0
branin,Branin,sf_gfn,SF-GFN,6,50,1,180.0,0.0,-2.460484582963975,0.0,-0.557787565472454,0.0,0.15990056547245401,0.0
branin,Branin,sf_gfn,SF-GFN,7,50,1,210.0,0.0,-2.072396457395097,0.0,-0.4915688372054525,0.0,0.09368183720545253,0.0
