x1,x2,x3,x4,x5,x6,y,fidelity
0.3,0.2,0.2,0.2,0.3,0.5,2.1396076581643215,2
0.2,0.1,0.3,0.1,0.4,0.7,1.9516257634644698,2
0.1,0.4,0.6,0.4,0.2,0.7,1.8252688015309706,2
0.3,0.7,0.5,0.5,0.0,0.1,1.8242412477848104,1
0.3,0.9,0.7,0.6,0.6,0.2,1.791131916816914,2
0.0,0.4,0.7,0.3,0.2,0.7,1.760457933445605,2
0.4,0.8,0.7,0.8,0.6,0.1,1.6829964868221194,1
0.6,0.8,0.7,0.5,0.9,0.1,1.3338977200277793,1
0.3,0.7,0.8,0.5,0.7,0.2,1.3066717282395772,1
0.4,0.0,0.2,0.3,0.1,0.7,1.2111975074835224,2
0.1,0.3,0.9,0.5,0.1,0.9,1.1709815216749189,1
0.5,0.4,0.5,0.5,0.3,0.8,1.144019810259342,1
0.2,0.5,0.6,0.4,0.5,0.7,1.1179925109453492,2
0.0,0.1,0.5,0.4,0.1,0.5,1.0173617203523073,1
0.0,0.0,0.5,0.6,0.3,0.6,0.9640032662853906,1
0.8,0.2,0.8,0.3,0.3,0.7,0.955009161850267,1
0.2,0.7,0.2,0.7,0.0,0.1,0.9525965954102107,1
0.4,0.1,0.6,0.2,0.5,0.4,0.927017418060704,1
0.3,0.5,0.8,0.4,0.1,0.7,0.9364952261874729,1
0.3,0.6,0.9,0.3,0.2,0.7,0.9341159250846643,1
0.2,0.1,0.6,0.1,0.7,0.5,0.8957212230724027,2
0.2,0.5,0.4,0.1,0.5,0.8,0.8650013968630357,2
0.3,0.9,0.6,0.4,0.4,0.3,0.8651218877278088,1
0.2,0.0,0.0,0.4,0.5,0.5,0.8368736130216624,1
0.5,0.0,0.4,0.1,0.1,0.6,0.8068494166329742,1
0.3,0.6,0.8,0.8,0.2,0.1,0.8029100881100955,1
0.0,0.0,0.6,0.4,0.3,0.3,0.781191226596343,1
0.3,0.5,0.7,0.6,0.2,0.7,0.7534263127129226,1
0.6,0.9,0.3,0.3,0.2,0.1,0.7507143804840352,1
0.2,0.5,0.8,0.6,0.2,0.7,0.7482682880280594,2
0.3,0.2,0.9,0.0,0.4,0.6,0.743481871216725,2
0.5,0.1,0.6,0.5,0.4,0.4,0.7376590120545528,1
0.2,0.6,0.9,0.5,0.3,0.7,0.7309798746692068,1
0.3,0.1,0.5,0.3,0.6,0.4,0.7204905545999203,2
0.2,0.8,0.2,0.4,0.8,0.2,0.7153419339836304,2
0.6,0.4,0.2,0.2,0.4,0.4,0.7108902247756409,1
0.4,0.3,0.6,0.4,0.2,0.3,0.703524050504257,1
0.0,0.0,0.7,0.6,0.3,0.5,0.6791649731933578,1
0.2,0.8,0.1,0.3,0.2,0.1,0.6825332119844032,2
0.2,0.3,0.5,0.3,0.8,0.6,0.6490049410425368,1
0.4,0.1,0.8,0.2,0.3,0.3,0.6712292169728866,1
0.1,0.0,0.6,0.1,0.6,0.9,0.5967381298556125,1
0.7,0.1,0.9,0.2,0.2,0.5,0.5906549637703657,1
0.2,0.3,0.8,0.1,0.3,0.3,0.5751163777756281,1
0.6,0.4,0.6,0.0,0.4,0.9,0.5781479083675634,2
0.9,0.3,0.7,0.1,0.3,0.7,0.5735860666497693,2
0.4,0.5,0.8,0.8,0.0,0.1,0.5654080111242377,2
0.1,0.8,0.3,0.5,0.0,0.1,0.5591256157306339,2
0.8,0.4,0.7,0.0,0.4,0.9,0.5507711074437929,1
0.5,0.5,0.7,0.7,0.3,0.2,0.5456576692672053,1
0.6,0.6,0.7,0.9,0.1,0.9,0.5401898427306764,1
0.4,0.7,0.9,0.8,0.8,0.3,0.5386623410755211,1
0.6,0.6,0.3,0.5,0.4,0.7,0.5342626240706019,1
0.1,0.3,0.4,0.1,0.7,0.4,0.5037720916506006,2
0.4,0.9,0.7,0.5,0.0,0.4,0.5116065713235116,1
0.0,0.7,0.8,0.4,0.3,0.5,0.49741046399503,1
0.2,0.4,0.7,0.3,0.0,0.5,0.47488905392091946,2
0.4,0.5,0.0,0.3,0.1,0.4,0.47453665656821925,1
0.0,0.4,0.7,0.3,0.7,0.7,0.45464383824600685,2
0.5,0.9,0.9,0.6,0.1,0.4,0.4566755625865854,2
0.1,0.6,0.3,0.0,0.3,0.9,0.43964815720534756,2
0.4,0.6,0.3,0.6,0.2,0.6,0.43933920133685556,3
0.2,0.1,0.0,0.6,0.1,0.6,0.43208904093253886,1
0.0,0.6,0.6,0.2,0.8,0.6,0.40842665301163594,1
0.2,0.9,0.3,0.4,0.9,0.3,0.42697961739724727,1
0.7,0.9,0.0,0.7,0.1,0.2,0.41557607030382454,1
0.0,0.2,0.5,0.5,0.0,0.8,0.41022709140153246,1
0.9,0.0,0.2,0.1,0.4,0.6,0.4130460763136456,1
0.6,0.6,0.9,0.3,0.3,0.2,0.3918317056807976,1
0.8,0.5,0.4,0.3,0.5,0.7,0.3880429663330917,1
0.4,0.8,0.6,0.1,0.2,0.8,0.3838948003588719,1
0.4,0.6,0.9,0.6,0.4,0.7,0.37718954506331365,1
0.4,0.3,0.4,0.5,0.1,0.3,0.37512765989459385,1
0.8,0.1,0.2,0.1,0.1,0.7,0.3747915294870816,1
0.5,0.9,0.4,0.4,0.6,0.4,0.3626750143859522,2
0.2,0.6,0.1,0.3,0.7,0.0,0.36161596087700465,3
0.3,0.4,0.9,0.7,0.0,0.0,0.3457265831268629,1
0.4,0.4,0.0,0.4,0.8,0.0,0.32968950701336913,1
0.3,0.6,0.0,0.3,0.6,0.3,0.3289795905085066,1
0.3,0.9,0.9,0.3,0.4,0.4,0.3243300658860272,1
0.2,0.0,0.1,0.6,0.5,0.9,0.3199593525502213,3
0.1,0.7,0.7,0.0,0.7,0.6,0.31043323310586807,2
0.3,0.6,0.3,0.6,0.5,0.7,0.31357233870663453,1
0.4,0.8,0.3,0.3,0.1,0.7,0.31400366351300085,2
