selfies,y,fidelity,source_split
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][O][C][=Branch1][C][=O][C][Ring1][P][=C][Ring2][Ring1][Branch1],0.8782,1,train
[N][C][=C][C][=C][C][=N][Ring1][=Branch1],-1.3309,1,train
[N][#C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P][C][=C][Branch1][=Branch2][C][=C][Branch1][Ring1][C][#N][C][#N][C][Ring2][Ring1][N],2.2396,1,train
[C][C][=C][Branch2][Ring1][#Branch1][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][N][C][#N][C][=C][N][Ring2][Ring1][Ring1][C][=C][N][=C][S][C][=N][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N],2.5275,1,train
[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C],0.3458,1,train
[C][=C][C][=C][C][=C][Ring1][=Branch1],-1.9413,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Ring1][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring2][Ring1][Branch1],-0.1357,1,train
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2],2.9261,1,train
[C][C][N][=C][Branch1][=N][C][=C][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][O][N][C][=Ring1][=N][C][C][C][C][Ring1][=Branch1],-1.1895,1,train
[O][=C][C][=C][C][=C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N],2.1491,1,train
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.9335,1,train
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2],2.9261,1,train
