selfies,y,source_split
0,[F][C][=C][C][Branch1][C][F][=C][Branch2][Ring2][=Branch1][C][=C][C][=C][N][=C][C][=C][Branch1][=C][C][=C][C][=C][C][=N][NH1][N][=C][Ring1][=Branch2][Ring1][Branch1][C][=C][C][Ring1][#C][=N][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1][C][Branch1][C][F][=C][Ring2][Ring1][#C][Cl],train
1,[Cl][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P],train
2,[C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][P][C][=N][C][Branch1][C][C][=C][N][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][=C][Ring1][P],train
3,[C][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][=C][C][=Branch1][#Branch1][=C][Ring2][Ring1][Ring1][Ring1][#C][C][Ring2][Ring1][#Branch1][=O],train
4,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
5,[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring1][=N][C][=C][Branch1][Ring1][C][#N][C][#N],train
6,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
7,[C][O][C][=N][C][Branch2][Ring1][#Branch2][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1][=N][C][Branch1][Ring1][O][C][=N][Ring2][Ring1][=Branch2],train
8,[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][N][Ring1][=N][C],train
9,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][N],train
10,[C][C][O][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][N][Branch1][=Branch2][C][C][=Branch1][C][=O][O][C][C][C][=Branch1][C][=O][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2],train
11,[C][O][C][=C][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][=C][Ring1][P],train
12,[C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][Ring1][=Branch2][=C][Ring1][=N],train
13,[C][C][N][=C][Branch1][=N][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][O][N][C][=Ring1][=N][C][C][C][C][Ring1][=Branch1],train
14,[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][Ring1][#Branch2][C],train
15,[N][#C][C][=C][C][=C][NH1][C][=C][C][Ring1][Branch1][=C][Ring1][=Branch2],train
16,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],train
17,[F][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=C][C][=C][C][=C][O][C][=N][C][Ring1][Branch1][=C][Ring1][=Branch2][S][Ring1][=C][C][=C][N][=C][Ring2][Ring1][Ring2][Ring2][Ring1][Branch2],train
18,[N][#C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2],train
19,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
20,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][O][N][=C][Branch1][Branch2][C][C][=C][NH1][C][=Ring1][Branch1][N][Ring1][#Branch2][N][C][=N][C][=C][Ring1][Branch1][C][=C][C][=Branch1][O][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][N][=S][=N][Ring1][O],train
21,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][Branch1][=C][C][C][=C][N][C][=C][C][=C][C][=Ring1][=Branch2][Ring1][=Branch1][=C][C][=C][Ring1][#C][N][Ring2][Ring1][Ring2][C][NH1][C][=N][C][=Ring1][Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2],train
22,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
23,[N][C][=C][C][=C][N][=C][Ring1][=Branch1],train
24,[C][C][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][S][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][Branch1][Branch2][C][=C][C][=C][NH1][Ring1][Branch1][C][Branch1][Ring1][C][#N][=C][Ring1][P][C][#N][C][=C][C][Ring2][Ring1][=Branch2][=C][C][Ring2][Ring1][=N][=C][Ring2][Ring1][P],train
25,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
26,[N][#C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1],train
27,[C][O][C][=C][C][=C][Branch2][Ring2][=N][C][=N][C][=C][Branch2][Ring1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][Ring1][N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][S],train
28,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],train
29,[N][C][=C][C][=C][C][=N][Ring1][=Branch1],train
