selfies,y,fidelity,source_split
[N][#C][C][=C][C][=C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][C][#C][C][=C][C][=C][O][Ring1][Branch1][C][=N][Ring1][=N][N][=C][Ring2][Ring1][Ring1],7.5081,1,train
[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][C][O][C][=N][N][=C][Branch1][C][Cl][N][=N][Ring1][#Branch1],9.2088,1,train
[C][=C][Branch2][Ring1][=C][C][=C][C][=C][NH1][C][=N][C][=C][Branch1][Branch2][C][=C][NH1][C][=N][Ring1][Branch1][C][=C][Ring1][O][C][Ring1][=C][=C][Ring2][Ring1][C][N][Branch1][#C][C][=C][C][=C][C][=N][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring2][Ring2][=Branch1],6.0133,1,train
[N][#C][C][=C][C][=C][Branch1][C][N][C][Branch1][Ring1][C][#N][=C][Ring1][=Branch2],8.8701,1,train
[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][#C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][O],6.0712,1,train
[N][#C][C][=C][C][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2][N],8.9239,1,train
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N][C][=C][Ring2][Ring1][Ring1][Ring2][Ring1][=N],7.3445,1,train
[C][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=C][C][=C][NH1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][C][=Ring1][=Branch2][C][Ring1][N][=C][Ring1][S][C][=C][C][Ring2][Ring1][=Branch1][=C][Branch1][Branch2][C][=C][C][=C][NH1][Ring1][Branch1][C][Ring2][Ring1][#C][=C][Ring2][Ring2][Ring1],6.0356,1,train
[N][#C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][NH1][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][=C][Ring1][#Branch2],7.3619,1,train
[C][=C][C][=C][C][Branch2][Ring1][=N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][N][=C][Ring1][#C][Ring1][=Branch1][=C][C][=C][C][=C][Branch1][C][F][C][=C][C][=C][C][=C][Ring2][Ring1][P][C][Ring1][=N][=C][Ring1][=Branch1][Ring1][O],6.5109,1,train
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O],9.8381,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][Ring1][C][#N][S][Ring1][#Branch1][S][Ring1][N][C][=C][Ring2][Ring1][C],7.2652,1,train
[N][#C][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][C][#N],8.8376,1,train
[O][=C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][C],7.7182,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][Branch2][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][Branch1],6.4086,1,train
